Join_Count,TARGET_FID,proyecto,FREQUENCY,region_zon,latitud,longitud,precio_m2,Total_Pric,superficie,niveles,torres,unidades,ascensor,dormitorio,sanitarios,parqueos,parqueos_m,balcon,piscina,gimnasio,areas_verd,area_socia,areas_depo,juegos,Densidad,Porcentaje,Porcenta_1,Porcenta_2,Porcenta_3,Porcenta_4,Dist_DBC,Dist_CH,Dist_Trans,Count_Tran,Dist_Tra_1,Count_Tr_1,Dist_Educa,Count_Educ,Dist_Salud,Count_Salu,Dist_Cultu,Count_Cult,Dist_parqu,Area_parqu,Dist_Resta,Count_Rest,Dist_hotel,Count_Hote,Dist_banco,Count_Banc,Dist_Ofico,Count_Ofic,Dist_indus,Count_Indu,Dist_Vías,G2,G3,G4,G5,ID,Zona,CLUSTER_ID,Municipio,ZONA_1,Población,km2,NEAR_FID
1,1,Acacia,23,Zona 12,14.58926538,-90.55836017,1020.652174,135166.8696,133.0434783,4,2,8,0,2.826086957,1.695652174,2,0,1,0,0,1,0,0,0,236,27,21,2,17,12,4.076809299,5.569498879,0.342159203,7,1.307514523,0,0.190912259,16,0.927539248,0,0.695129529,2,0.450140489,46334,0.455388558,7,0.496376729,1,0.267863207,22,1.170840297,0,0.060083968,4,0.232227742,0,1,0,0,1,12,2,Guatemala,12,28595,121,275
1,2,Acantos,19,Zona 16,14.61216,-90.4932,2288.421053,507089.6842,220.8947368,10,3,60,2,2,2,2.421052632,0,1,1,1,1,1,1,1,198,19,24,8,16,8,1.6751922,2.35389834,1.421533104,0,1.942188046,0,0.707350637,7,0.650494737,2,0.491735281,5,0.335679167,38352,0.412366614,8,1.868851037,0,0.400371722,5,0.278455337,3,0.950272546,0,0.294972342,0,1,0,0,2,16,1,Guatemala,16,38996,197,12
1,3,Adamant Studio Lofts,38,Zona 15,14.600724,-90.48841,2172.684211,85641.65789,41.37789474,4,1,81,1,1,1,1,0,1,0,1,0,1,0,0,119,19,37,16,17,17,1.743127832,3.555151715,2.656697157,0,1.779221656,0,0.292049937,8,0.881978268,1,0.403735255,5,0.299229381,31383,0.236771012,4,1.951013742,0,0.359668909,4,0.743819818,3,2.100497454,0,0.519563474,0,1,0,0,3,15,1,Guatemala,15,11192,94,347
1,4,Agata,10,Zona 10,14.594848,-90.510656,2719,545423.4,200.6,20,1,56,2,2.1,2.6,3,0,1,0,1,1,1,1,1,140,19,37,16,18,17,0.274737724,3.530159229,0.976665293,0,0.395012025,4,0.230520838,17,0.270317305,8,0.323794895,7,0.425124754,51214,0.096912697,86,0.229714986,16,0.289453024,34,0.154401403,46,1.43397955,0,0.253005482,0,0,0,1,4,10,1,Guatemala,10,7700,55,143
1,5,Ágora 1501,32,Zona 15,14.58369235,-90.48806252,1866.6875,187406.8438,100.895,10,1,33,1,2.5,2.03125,1.875,0,1,0,0,1,1,0,0,119,19,37,16,17,17,2.236606328,5.067593123,3.382200428,0,0.767337359,2,0.294384421,8,0.333224589,3,0.256307609,1,0.12318581,113510,0.167769663,12,1.872324755,0,0.238341503,9,0.077372496,9,2.355318019,0,0.126418202,0,1,0,0,5,15,1,Guatemala,15,11192,94,16
1,6,Airali,30,Zona 10,14.601328,-90.510408,2555.233333,243366.8667,96.75933333,25,1,109,2,2.4,2.166666667,1.933333333,0,1,1,1,0,1,0,0,140,19,37,16,18,17,0,2.881912732,0.83823035,2,0.082937824,2,0.056286359,22,0.228538685,22,0.059009887,11,0.423263996,58156,0.114027448,89,0.360846025,17,0.043443987,45,0.076941176,41,1.467264216,0,0.074779244,0,0,0,1,6,10,1,Guatemala,10,7700,55,139
1,7,Akari,10,Mixco Zona 2,14.63238,-90.572923,1396,73287.5,52.465,11,1,80,2,2.5,1.5,1.5,0,0,0,1,1,1,0,1,516,23,14,2,17,7,6.026846046,4.990038783,1.519560125,0,3.083697556,0,0.656508054,8,0.220623174,1,0.585272359,1,0.124843122,88023,0.223683405,7,0.670173988,1,0.514650769,5,0.232690058,5,0.370775532,3,0.136606655,0,0,0,0,7,36,2,Mixco,0,465775,902,219
1,8,Akoya,35,Zona 14,14.58384604,-90.51913961,1775.257143,302595.5143,170.3428571,14,1,30,2,3.485714286,2.514285714,2.4,0,1,0,1,0,1,0,0,364,19,24,10,17,13,1.573866528,4.731957368,0.394167889,4,0.746730128,4,0.126902229,9,0.159667795,6,0.328844841,8,0.186657531,89513,0.297218943,22,0.197957922,1,0.149798825,18,0.125898303,11,0.777661183,3,0.534792437,0,0,1,0,8,14,1,Guatemala,14,16390,45,9
1,9,Albereda de la Española Muxbal,8,Muxbal,14.556421,-90.4669,1862.5,340214.5,184,6,1,17,2,2.5,3.5,2,0,1,0,1,1,1,0,1,120,20,11,3,17,6,5.616836464,8.457654173,5.979681514,0,0.585890241,1,1.391871569,0,3.147292144,0,3.629486035,0,0.93138051,0,0.56096482,5,1.25775919,0,0.504943963,5,0.319243226,9,2.297690283,0,0.588109846,0,0,0,0,9,30,1,Santa Catarina Pinula,0,80582,672,367
1,10,Albereda Española,17,Muxbal,14.56114668,-90.47285362,1492,380364,255,10,3,24,1,3,2,2,0,1,1,1,1,1,0,1,120,20,11,3,17,6,4.862249848,7.758799753,5.275304816,0,0.01893013,1,0.651266287,3,2.428974888,0,2.909831477,0,0.682727096,15704,0.210845041,7,1.923002938,0,0.146152254,4,0.119158822,7,3.045719666,0,0.593710792,0,0,0,0,10,30,1,Santa Catarina Pinula,0,80582,672,367
