TARGET_FID,proyecto,region_zon,latitud,longitud,precio_m2,Total_Pric,superficie,niveles,torres,unidades,ascensor,dormitorio,sanitarios,parqueos,Dist_DBC,Dist_CH,Dist_Trans,Dist_Tra_1,Dist_Educa,Dist_Salud,Dist_Cultu,Dist_parqu,Dist_Resta,Dist_hotel,Dist_banco,Dist_Ofico,Dist_indus,Dist_Vías,Población
1,Acacia,Zona 12,14.58926538,-90.55836017,1020.652174,135166.8696,133.0434783,4,2,8,0,2.826086957,1.695652174,2,4.076809299,5.569498879,0.342159203,1.307514523,0.190912259,0.927539248,0.695129529,0.450140489,0.455388558,0.496376729,0.267863207,1.170840297,0.060083968,0.232227742,28595
2,Acantos,Zona 16,14.61216,-90.4932,2288.421053,507089.6842,220.8947368,10,3,60,2,2,2,2.421052632,1.6751922,2.35389834,1.421533104,1.942188046,0.707350637,0.650494737,0.491735281,0.335679167,0.412366614,1.868851037,0.400371722,0.278455337,0.950272546,0.294972342,38996
3,Adamant Studio Lofts,Zona 15,14.600724,-90.48841,2172.684211,85641.65789,41.37789474,4,1,81,1,1,1,1,1.743127832,3.555151715,2.656697157,1.779221656,0.292049937,0.881978268,0.403735255,0.299229381,0.236771012,1.951013742,0.359668909,0.743819818,2.100497454,0.519563474,11192
4,Agata,Zona 10,14.594848,-90.510656,2719,545423.4,200.6,20,1,56,2,2.1,2.6,3,0.274737724,3.530159229,0.976665293,0.395012025,0.230520838,0.270317305,0.323794895,0.425124754,0.096912697,0.229714986,0.289453024,0.154401403,1.43397955,0.253005482,7700
5,Ágora 1501,Zona 15,14.58369235,-90.48806252,1866.6875,187406.8438,100.895,10,1,33,1,2.5,2.03125,1.875,2.236606328,5.067593123,3.382200428,0.767337359,0.294384421,0.333224589,0.256307609,0.12318581,0.167769663,1.872324755,0.238341503,0.077372496,2.355318019,0.126418202,11192
6,Airali,Zona 10,14.601328,-90.510408,2555.233333,243366.8667,96.75933333,25,1,109,2,2.4,2.166666667,1.933333333,0,2.881912732,0.83823035,0.082937824,0.056286359,0.228538685,0.059009887,0.423263996,0.114027448,0.360846025,0.043443987,0.076941176,1.467264216,0.074779244,7700
7,Akari,Mixco Zona 2,14.63238,-90.572923,1396,73287.5,52.465,11,1,80,2,2.5,1.5,1.5,6.026846046,4.990038783,1.519560125,3.083697556,0.656508054,0.220623174,0.585272359,0.124843122,0.223683405,0.670173988,0.514650769,0.232690058,0.370775532,0.136606655,465775
8,Akoya,Zona 14,14.58384604,-90.51913961,1775.257143,302595.5143,170.3428571,14,1,30,2,3.485714286,2.514285714,2.4,1.573866528,4.731957368,0.394167889,0.746730128,0.126902229,0.159667795,0.328844841,0.186657531,0.297218943,0.197957922,0.149798825,0.125898303,0.777661183,0.534792437,16390
9,Albereda de la Española Muxbal,Muxbal,14.556421,-90.4669,1862.5,340214.5,184,6,1,17,2,2.5,3.5,2,5.616836464,8.457654173,5.979681514,0.585890241,1.391871569,3.147292144,3.629486035,0.93138051,0.56096482,1.25775919,0.504943963,0.319243226,2.297690283,0.588109846,80582
10,Albereda Española,Muxbal,14.56114668,-90.47285362,1492,380364,255,10,3,24,1,3,2,2,4.862249848,7.758799753,5.275304816,0.01893013,0.651266287,2.428974888,2.909831477,0.682727096,0.210845041,1.923002938,0.146152254,0.119158822,3.045719666,0.593710792,80582
11,Albereda II de la Española Muxbal,Muxbal,14.556421,-90.466899,1862.5,340214.5,184,6,1,17,2,2.5,3.5,2,5.616907332,8.457703314,5.97977674,0.585810596,1.391958503,3.147349331,3.629543134,0.93136073,0.560908851,1.257733113,0.504857407,0.319201859,2.297626323,0.588030387,80582
12,Albereda III de la Española Muxbal,Muxbal,14.55642,-90.4669,1700,312500,184.5,6,1,20,2,2.5,3,2,5.616907017,8.457741266,5.979712041,0.585950712,1.391920994,3.14737418,3.629568131,0.931478533,0.561047689,1.257662651,0.504994047,0.319334265,2.297613414,0.588170562,80582
13,Albero 14,Zona 14,14.571768,-90.523089,1953.25,285498.55,147.35,12,1,28,2,2.5,2.525,2,2.841135108,5.985667081,0.300295795,1.715303042,0.228723337,0.281268115,0.336635412,0.166188904,0.895085033,1.034330181,0.369384332,0.872752722,0.500296518,1.602355116,16390
14,Álbero 15,Zona 15,14.58190446,-90.48540547,1383.606061,176820.5152,128,11,1,52,1,2.484848485,2,2,2.556863157,5.340959543,3.685543736,0.816758879,0.339724714,0.060830696,0.485021434,0.018852133,0.313050143,2.187514322,0.060653982,0.146337045,2.599309583,0.021612086,11192
15,Albero San Lazaro,Zona 15,14.580707,-90.482003,2063.875,222181,112.4075,12,1,60,3,2.125,2.1875,1.75,2.906134663,5.601668974,4.045688719,0.977590895,0.582745988,0.327581078,0.787153288,0.291201522,0.614188236,2.546985564,0.31324956,0.490724838,2.933666694,0.094450573,11192
16,Alegría apartamentos Fase I T1 & T2,Mixco Zona 4,14.659761,-90.540977,1438.375,124047.5,86.545,8,2,90,2,2.666666667,2,2,5.602328556,2.334231492,1.44567988,2.333166006,0.986399016,1.179283254,2.011105225,0.240616137,0.406372299,2.947560483,0.378215213,1.470337819,1.041464878,0.850981198,465775
17,Alegría apartamentos Fase II T3 & T4,Mixco Zona 4,14.65976,-90.541,1380.333333,119231.5,86.545,8,2,90,2,2.666666667,2,2,5.603206218,2.336213323,1.446253879,2.335142103,0.988692085,1.180379648,2.01304838,0.241992494,0.405452946,2.949176527,0.377262356,1.468047653,1.041079654,0.850857865,465775
18,Alegría apartamentos Fase III T5,Mixco Zona 4,14.65976,-90.541,1540.5,140130,91.655,8,1,45,2,2.5,2,2,5.603206218,2.336213323,1.446253879,2.335142103,0.988692085,1.180379648,2.01304838,0.241992494,0.405452946,2.949176527,0.377262356,1.468047653,1.041079654,0.850857865,465775
19,Almoreto,CAES,14.56123794,-90.46484436,1774,120613,68,3,3,35,0,2,1,2,5.444437257,8.149758246,6.050899828,0.174888628,1.430504264,2.903845618,3.380665778,0.43091508,0.109736393,1.700340006,0.182761314,0.017525528,2.578958137,0.181198981,80582
20,Alta Villa El Naranjo,Mixco Zona 11,14.67181349,-90.55401591,1083.029412,86624.67647,80,15,4,224,8,3,2,2,7.275823967,4.076974508,3.019886282,4.076490698,1.98823177,1.599997462,2.96979667,0.420017467,0.080541424,4.585345038,1.941395877,0.010809419,1.909418022,0.08585028,465775
21,Altabrisa,Villa Canales,14.48046,-90.5319,556.8235294,23642.70588,43.58823529,5,39,936,0,2,1.352941176,0.647058824,11.83033318,15.14452508,8.961055854,4.088642441,6.127931591,6.657855595,6.607758883,0.266446825,0.300398646,3.914433802,0.176447346,0.089619171,0.604945936,4.54474869,155422
22,Altavista,Villa Nueva,14.50636,-90.5381,857,66818,78,12,1,110,2,3,2,1,9.502530719,12.67841781,6.352653037,1.42639526,3.481050393,4.058589215,4.021569471,0.14773226,0.707882663,1.360930438,1.73978504,1.980391772,1.365292096,3.288438334,155422
